Subject,PicSeq_AgeAdj,CardSort_AgeAdj,Flanker_AgeAdj,ReadEng_AgeAdj,PicVocab_AgeAdj,ProcSpeed_AgeAdj,ListSort_AgeAdj,CogFluidComp_AgeAdj,CogEarlyComp_AgeAdj,CogTotalComp_AgeAdj,CogCrystalComp_AgeAdj,Endurance_AgeAdj,Dexterity_AgeAdj,Strength_AgeAdj,Odor_AgeAdj,Taste_AgeAdj
397760,106.3,111.8,108.87,108.24,110.17,111.75,97.6,112.23,116.24,118.11,112.23,134.67,101.54,125.8,77.61,72.1
414229,103.95,111.7,111.92,101.29,100.39,119.77,127.41,127.91,112.83,124.27,100.29,117.07,107.04,110.99,98.04,70.67
499566,121.69,119.65,108.44,124.28,130.99,106.71,108.26,129.46,139.3,153.36,132.27,112.02,97.25,82.91,110.45,121.9
654754,122.27,115.73,110.41,81.41,81.33,101.57,93.3,116.79,117.77,98.09,77.25,104.74,109.74,87.14,111.41,91.19
672756,68.53,118.31,111.27,94.5,99.73,105.67,117.24,110.63,101.02,105.5,95.03,119.46,98.8,143.63,111.41,80.71
751348,93.17,99.52,106.68,130.29,117.27,90.77,108.26,98.8,103.78,124.48,131.29,102.48,91.83,130.27,110.45,101.22
756055,117.47,91.9,78.72,99.35,89.76,82.1,85.26,81.36,86.7,83.64,93.76,103.43,81.69,128.56,110.45,80.63
792564,96.04,106.79,105.98,97.19,102.12,104.68,107.32,106.9,103.09,105.39,99.2,101.58,93.9,88.04,111.41,111.37
856766,98.31,108.66,105.08,76.99,75.94,105.78,102.63,106.23,96.0,86.05,72.07,99.95,74.9,84.57,87.11,98.45
857263,78.81,103.51,80.34,90.24,68.58,81.06,80.7,73.77,71.85,70.47,77.36,114.17,87.0,105.48,97.19,94.28
899885,85.81,115.87,103.49,122.44,117.39,111.37,108.26,109.74,109.24,126.56,124.58,123.57,108.71,93.6,86.45,100.24
